product_id,brand,clean_name,flavor,volume,pack_count,price,is_bundle,product_line,dup_group_size,full_name,coupang_url,ingredients_json,nutrition_json,source
8790291902,일동후디스,하이뮨 케어메이트 고단백 당뇨식,,12g,36,118800,,하이뮨 케어메이트 고단백 당뇨식,1,"하이뮨 케어메이트 고단백 당뇨식(12g), 36개, 200ml",https://www.coupang.com/vp/products/8790291902,,,coupang_search
8764469276,테이크핏,테이크핏 몬스터 초코바나나 프로틴,초코바나나,350ml,24,63810,,테이크핏 몬스터 프로틴,1,"테이크핏 몬스터 초코바나나 프로틴, 350ml, 24개",https://www.coupang.com/vp/products/8764469276,,,coupang_search
7411095382,빙그레,더단백 드링크 초코,초코,250ml,18,34800,,더단백 드링크,2,"더단백 드링크 초코, 250ml, 18개",https://www.coupang.com/vp/products/7411095382,,,coupang_search
7923580560,테이크핏,테이크핏 맥스 초코맛 프로틴,초코,250ml,24,32000,,테이크핏 맥스 맛 프로틴,2,"테이크핏 맥스 초코맛 프로틴, 250ml, 24개",https://www.coupang.com/vp/products/7923580560,,,coupang_search
8185034096,빙그레,빙그레 더단백 드링크,여러맛,250ml,18,29900,Y,빙그레 더단백 드링크,1,"빙그레 더단백 드링크 6종 기획(초코 카라멜 커피 딸기 바나나 멜론) 총 18개, 250ml",https://www.coupang.com/vp/products/8185034096,,,coupang_search
8763434526,일동후디스,하이뮨 프로틴 밸런스 액티브 밀크쉐이크 ZERO,,250ml,36,50090,,하이뮨 프로틴 밸런스 액티브 밀크쉐이크 ZERO,1,"하이뮨 프로틴 밸런스 액티브 밀크쉐이크 ZERO, 250ml, 36개",https://www.coupang.com/vp/products/8763434526,,,coupang_search
9003329491,테이크핏,테이크핏 몬스터 고소한맛,고소한맛,350ml,24,63740,,테이크핏 몬스터,1,"테이크핏 몬스터 고소한맛, 350ml, 24개",https://www.coupang.com/vp/products/9003329491,,,coupang_search
7923583836,테이크핏,테이크핏 맥스 고소한맛 프로틴,고소한맛,250ml,24,32010,,테이크핏 맥스 프로틴,1,"테이크핏 맥스 고소한맛 프로틴, 250ml, 24개",https://www.coupang.com/vp/products/7923583836,,,coupang_search
8391180879,뉴케어,뉴케어 올프로틴 고소한맛,고소한맛,245ml,24,79200,,뉴케어 올프로틴,1,"뉴케어 올프로틴 고소한맛, 245ml, 24개",https://www.coupang.com/vp/products/8391180879,,,coupang_search
7293623577,일동후디스,하이뮨 마시는 프로틴 밸런스,,125ml,12,11810,,하이뮨 마시는 프로틴 밸런스,1,"하이뮨 마시는 프로틴 밸런스, 125ml, 12개",https://www.coupang.com/vp/products/7293623577,,,coupang_search
8060195157,잇더핏,잇더핏 단백질 쉐이크 대용량,초코,520g,1,55000,,잇더핏 단백질 쉐이크 대용량,1,"잇더핏 단백질 쉐이크 대용량(더블초코맛), 1개, 520g",https://www.coupang.com/vp/products/8060195157,,,coupang_search
8005946804,얼티브,얼티브 프로틴 음료 밤맛,,250ml,36,104400,,얼티브 프로틴 음료 밤맛,1,"얼티브 프로틴 음료 밤맛, 250ml, 36개",https://www.coupang.com/vp/products/8005946804,,,coupang_search
7485759715,아몬드브리즈,아몬드브리즈 뉴트리플러스 프로틴,,190ml,24,31900,,아몬드브리즈 뉴트리플러스 프로틴,1,"아몬드브리즈 뉴트리플러스 프로틴, 190ml, 24개",https://www.coupang.com/vp/products/7485759715,,,coupang_search
9212396109,얼티브,얼티브 프로틴 초코맛,초코,250ml,18,22050,,얼티브 프로틴 맛,1,"얼티브 프로틴 초코맛, 250ml, 18개",https://www.coupang.com/vp/products/9212396109,,,coupang_search
9574524670,오트몬드,오트몬드 검은콩단백,,190ml,24,15210,,오트몬드 검은콩단백,1,"오트몬드 검은콩단백, 24개, 190ml",https://www.coupang.com/vp/products/9574524670,,,coupang_search
7621201792,마이밀,마이밀 뉴프로틴 드링크 오리지널,오리지널,190ml,30,33900,,마이밀 뉴프로틴 드링크,1,"마이밀 뉴프로틴 드링크 오리지널, 190ml, 30개",https://www.coupang.com/vp/products/7621201792,,,coupang_search
7814209814,빙그레,더단백 드링크 딸기,딸기,250ml,18,5626500,,더단백 드링크,2,"더단백 드링크 딸기, 250ml, 18개",https://www.coupang.com/vp/products/7814209814,,,coupang_search
6979534638,일동후디스,하이뮨 프로틴 밸런스 액티브 오리지널,오리지널,250ml,18,28000,,하이뮨 프로틴 밸런스 액티브,1,"하이뮨 프로틴 밸런스 액티브 오리지널, 250ml, 18개",https://www.coupang.com/vp/products/6979534638,,,coupang_search
8966508605,일동후디스,하이뮨 프로틴 밸런스 액티브 밤티라미수 ZERO,,22g,36,56260,,하이뮨 프로틴 밸런스 액티브 밤티라미수 ZERO,1,"하이뮨 프로틴 밸런스 액티브 22g 밤티라미수 ZERO, 36개, 250ml",https://www.coupang.com/vp/products/8966508605,,,coupang_search
8966626959,일동후디스,하이뮨 프로틴 밸런스 액티브 바닐라봉봉 ZERO,바닐라,22g,36,55300,,하이뮨 프로틴 밸런스 액티브 봉봉 ZERO,1,"하이뮨 프로틴 밸런스 액티브 22g 바닐라봉봉 ZERO, 36개, 250ml",https://www.coupang.com/vp/products/8966626959,,,coupang_search
9618010128,이롬,이롬 황성주 박사의 고단백 두유 Pro 24 플레인,플레인,240ml,16,24900,,이롬 황성주 박사의 고단백 두유 Pro 24,1,"이롬 황성주 박사의 고단백 두유 Pro 24 플레인, 16개, 240ml",https://www.coupang.com/vp/products/9618010128,,,coupang_search
7411107327,빙그레,더단백 드링크 커피 A,커피,250ml,18,34800,,더단백 드링크 A,1,"더단백 드링크 커피 A, 250ml, 18개",https://www.coupang.com/vp/products/7411107327,,,coupang_search
8866352646,오리온,오리온 닥터유프로 단백질드링크 딸기,딸기,40g,20,50880,,오리온 닥터유프로 단백질드링크,1,"오리온 닥터유프로 단백질드링크 40g 딸기, 20개, 350ml",https://www.coupang.com/vp/products/8866352646,,,coupang_search
7991437936,얼티브,얼티브 cj제일제당 프로틴 햇반쌀밥맛,,250ml,18,52200,,얼티브 cj제일제당 프로틴 햇반쌀밥맛,1,"얼티브 cj제일제당 프로틴 햇반쌀밥맛, 250ml, 18개",https://www.coupang.com/vp/products/7991437936,,,coupang_search
9555890664,파스퇴르,파스퇴르 단백질플러스 단호박,,195ml,20,23200,,파스퇴르 단백질플러스 단호박,1,"파스퇴르 단백질플러스 단호박, 20개, 195ml",https://www.coupang.com/vp/products/9555890664,,,coupang_search
8562018353,정식품,정식품 그린비아 프로틴밀 액티브 아몬드와호두맛 프로틴음료 고단백질영양설계 아르기닌 저당설계,,250ml,54,86400,,정식품 그린비아 프로틴밀 액티브 아몬드와호두맛 프로틴음료 고단백질영양설계 아르기닌 저당설계,1,"정식품 그린비아 프로틴밀 액티브 아몬드와호두맛 프로틴음료 고단백질영양설계 아르기닌 저당설계, 54개, 250ml",https://www.coupang.com/vp/products/8562018353,,,coupang_search
8411577572,닥터유,닥터유 프로 단백질 드링크 초코,초코,350ml,20,50800,,닥터유 프로 단백질 드링크,1,"닥터유 프로 단백질 드링크 초코, 350ml, 20개",https://www.coupang.com/vp/products/8411577572,,,coupang_search
8634047587,테이크핏,테이크핏 맥스 바나나맛 프로틴,바나나,250ml,24,32000,,테이크핏 맥스 맛 프로틴,2,"테이크핏 맥스 바나나맛 프로틴, 250ml, 24개",https://www.coupang.com/vp/products/8634047587,,,coupang_search
9585299927,케어웰,케어웰 고단백 시니어 렌틸콩 두유,,140ml,24,27000,,케어웰 고단백 시니어 렌틸콩 두유,1,"케어웰 고단백 시니어 렌틸콩 두유, 24개, 140ml",https://www.coupang.com/vp/products/9585299927,,,coupang_search
9339944651,정식품,정식품 고단백 두유,,190ml,24,20000,,정식품 고단백 두유,1,"정식품 고단백 두유, 24개, 190ml",https://www.coupang.com/vp/products/9339944651,,,coupang_search
8288998337,매일,셀렉스 프로핏 스포츠 초콜릿,초콜릿,330ml,24,54900,,셀렉스 프로핏 스포츠,1,"셀렉스 프로핏 스포츠 초콜릿, 330ml, 24개",https://www.coupang.com/vp/products/8288998337,,,coupang_search
6847899146,잇더핏,잇더핏 단백질 쉐이크 1주플랜 미숫가루맛,,40g,7,39500,,잇더핏 단백질 쉐이크 1주플랜 미숫가루맛,1,"잇더핏 단백질 쉐이크 1주플랜 미숫가루맛, 40g, 7개",https://www.coupang.com/vp/products/6847899146,,,coupang_search
9454815701,연세,연세두유 고단백 아몬드 잣 + 고단백 검은콩 고칼슘,여러맛,190ml,64,38100,Y,연세두유 고단백 아몬드 잣 + 고단백 검은콩 고칼슘,1,"연세두유 고단백 아몬드 잣 32팩+ 고단백 검은콩 고칼슘 32팩 (총64팩), 190ml, 64개",https://www.coupang.com/vp/products/9454815701,,,coupang_search
9533680501,연세,연세두유 고단백 Pro 플레인,플레인,240ml,16,12260,,연세두유 고단백 Pro,1,"연세두유 고단백 Pro 플레인, 16개, 240ml",https://www.coupang.com/vp/products/9533680501,,,coupang_search
9591420190,랩노쉬,랩노쉬 프로틴 드링크 퍼펙트 메론,,350ml,12,31800,,랩노쉬 프로틴 드링크 퍼펙트 메론,1,"랩노쉬 프로틴 드링크 퍼펙트 메론, 12개, 350ml",https://www.coupang.com/vp/products/9591420190,,,coupang_search
9165375222,빙그레,더단백 드링크 다크초코,초코,330ml,12,42000,,더단백 드링크 다크,1,"더단백 드링크 다크초코, 330ml, 12개",https://www.coupang.com/vp/products/9165375222,,,coupang_search
8730790838,빙그레,빙그레 더단백 드링크 프로틴음료 5개씩,여러맛,250ml,5,59000,Y,빙그레 더단백 드링크 프로틴음료 5개씩,1,"빙그레 더단백 드링크 프로틴음료 6종 5개씩 (딸기 바나나 멜론 초코 커피 밀크티), 30개, 250ml",https://www.coupang.com/vp/products/8730790838,,,coupang_search
8308582418,빙그레,더단백 멜론,멜론,250ml,18,34800,,더단백,1,"더단백 멜론, 250ml, 18개",https://www.coupang.com/vp/products/8308582418,,,coupang_search
9548166610,뉴케어올프로틴,뉴케어올프로틴 커피우유맛,커피,41g,6,24000,,뉴케어올프로틴 우유맛,1,"뉴케어올프로틴 커피우유맛 41g, 6개, 350ml",https://www.coupang.com/vp/products/9548166610,,,coupang_search
9335101071,빙그레,빙그레 더단백 드링크 프로틴음료,여러맛,250ml,18,29900,Y,빙그레 더단백 드링크 프로틴음료,1,"빙그레 더단백 드링크 프로틴음료 6종 기획(초코 카라멜 커피 딸기 밀크티 멜론) 총 18개, 250ml",https://www.coupang.com/vp/products/9335101071,,,coupang_search
7923592222,테이크핏,테이크핏 맥스 호박고구마맛 상품군,,250ml,24,27900,,테이크핏 맥스 호박고구마맛 상품군,1,"테이크핏 맥스 호박고구마맛 상품군, 250ml, 24개",https://www.coupang.com/vp/products/7923592222,,,coupang_search
9057383530,일동후디스,하이뮨 프로틴 밸런스 드링크 RTD,여러맛,190ml,24,25970,Y,하이뮨 프로틴 밸런스 드링크 RTD,1,"하이뮨 프로틴 밸런스 드링크믹스 RTD, 190ml, 24개",https://www.coupang.com/vp/products/9057383530,,,coupang_search
9500495070,랩노쉬,랩노쉬 프로틴 드링크 맥스 딸기,딸기,400ml,6,22800,,랩노쉬 프로틴 드링크 맥스,1,"랩노쉬 프로틴 드링크 맥스 딸기, 6개, 400ml",https://www.coupang.com/vp/products/9500495070,,,coupang_search
9305353241,테이크핏,테이크핏 맥스 고소 + 초코 + 바나나,여러맛,250ml,18,32900,Y,테이크핏 맥스 고소 + +,1,"테이크핏 맥스 고소 + 초코 + 바나나, 18개, 250ml",https://www.coupang.com/vp/products/9305353241,,,coupang_search
8803299277,오트몬드,오트몬드 프로틴 쿠키앤크림,,250ml,18,5524900,,오트몬드 프로틴 쿠키앤크림,1,"오트몬드 프로틴 쿠키앤크림, 250ml, 18개",https://www.coupang.com/vp/products/8803299277,,,coupang_search
8987607277,테이크핏,테이크핏 맥스 24G 고소한맛 x +호박고구마맛 x,여러맛,250ml,12,33900,Y,테이크핏 맥스 24G x +호박고구마맛 x,1,"테이크핏 맥스 24G 고소한맛 250mL x 12개+호박고구마맛 250mL x 12개, 24개",https://www.coupang.com/vp/products/8987607277,,,coupang_search
9556014565,일동후디스,하이뮨 프로틴 울트라 블랙초코,초코,400ml,6,29400,,하이뮨 프로틴 울트라 블랙,1,"하이뮨 프로틴 울트라 블랙초코, 6개, 400ml",https://www.coupang.com/vp/products/9556014565,,,coupang_search
9392371253,랩노쉬,랩노쉬 프로틴 드링크 퍼펙트 초코,초코,350ml,12,45600,,랩노쉬 프로틴 드링크 퍼펙트,1,"랩노쉬 프로틴 드링크 퍼펙트 초코, 12개, 350ml",https://www.coupang.com/vp/products/9392371253,,,coupang_search
8563959522,테이크핏,테이크핏 맥스 프로틴 고소한맛 + 초코맛,여러맛,250ml,,60000,Y,테이크핏 맥스 프로틴 + 맛,1,"테이크핏 맥스 프로틴 250ml 고소한맛 12p + 초코맛 12p, 1세트",https://www.coupang.com/vp/products/8563959522,,,coupang_search
8987291087,베지밀,베지밀 고단백 두유 초코,초코,190ml,32,38400,,베지밀 고단백 두유,1,"베지밀 고단백 두유 초코, 190ml, 32개",https://www.coupang.com/vp/products/8987291087,,,coupang_search
9048061137,매일,셀렉스 프로핏,여러맛,250ml,12,24200,Y,셀렉스 프로핏,1,"셀렉스 프로핏 (모카초콜릿 3팩+밀크바닐라 3팩+바나나 3팩+딸기초코3팩), 12개, 250ml",https://www.coupang.com/vp/products/9048061137,,,coupang_search
9586811598,오뚜기,오뚜기 데이프로틴 초코,초코,250ml,18,27120,,오뚜기 데이프로틴,1,"오뚜기 데이프로틴 초코, 18개, 250ml",https://www.coupang.com/vp/products/9586811598,,,coupang_search
